web-scraper-order,web-scraper-start-url,book-rank,book-rank-href,book-page,book-page-href,book-link,book-link-href,Name,Author,Category,Price,Rate,Comment,Rating-number,Sold-number
1633940584-560,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,2,https://tiki.vn/sach-truyen-tieng-viet/c316?page=2&sort=newest,CC - Bí quyết chinh phục điểm cao tiếng anh 10/1112.500 ₫-25%,https://tiki.vn/cc-bi-quyet-chinh-phuc-diem-cao-tieng-anh-10-1-p128133903.html?spid=128133904,CC - Bí quyết chinh phục điểm cao tiếng anh 10/1,,Sách Tham Khảo,112.500 ₫,,,,
1633940664-589,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,2,https://tiki.vn/sach-truyen-tieng-viet/c316?page=2&sort=newest,COMBO 2 CUỐN KHÚC KHẢI HOÀN DANG DỞ + NGƯỜI THĂNG LONG180.000 ₫,https://tiki.vn/combo-2-cuon-khuc-khai-hoan-dang-do-nguoi-thang-long-p127242583.html?spid=127242584,COMBO 2 CUỐN KHÚC KHẢI HOÀN DANG DỞ + NGƯỜI THĂNG LONG,Hà Ân,Sách văn học,180.000 ₫,,,,
1633940226-434,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,Combo 4 Quyển: Say Cool To English - Say Yes To Phrasal Verbs!179.200 ₫-20%,https://tiki.vn/combo-4-quyen-say-cool-to-english-say-yes-to-phrasal-verbs-p127599452.html?spid=127599454,Combo 4 Quyển: Say Cool To English - Say Yes To Phrasal Verbs!,"C. Lee,",Sách thiếu nhi,179.200 ₫,,,,
1633940448-511,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Sách - Thơ văn Nguyễn Đình Chiểu50.000 ₫,https://tiki.vn/sach-tho-van-nguyen-dinh-chieu-p127338574.html?spid=127338575,Sách - Thơ văn Nguyễn Đình Chiểu,Nguyễn Đình Chiểu,Sách văn học,50.000 ₫,,,,
1633940455-514,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Sách - Người Thăng Long120.000 ₫,https://tiki.vn/sach-nguoi-thang-long-p127382686.html?spid=127382687,Sách - Người Thăng Long,Hà Ân,Sách văn học,120.000 ₫,,,,
1633940548-549,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Thám tử lừng danh Conan tập 5020.000 ₫,https://tiki.vn/tham-tu-lung-danh-conan-tap-50-p127966226.html?spid=127966227,Thám tử lừng danh Conan tập 50,Aoyama Gosho,Sách thiếu nhi,20.000 ₫,,,,
1633940533-543,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Đóa hoa đồng thoại Vol1 - Tuyển tập truyện ngắn cho thiếu nhi 23.700 ₫,https://tiki.vn/doa-hoa-dong-thoai-vol1-tuyen-tap-truyen-ngan-cho-thieu-nhi-p127901536.html?spid=127901537,Đóa hoa đồng thoại Vol1 - Tuyển tập truyện ngắn cho thiếu nhi,,Sách thiếu nhi,23.700 ₫,,,,
1633940453-513,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Sách - Chuyện Phiêu Lưu Của Mít Đặc Và Các Bạn150.000 ₫,https://tiki.vn/sach-chuyen-phieu-luu-cua-mit-dac-va-cac-ban-p113526732.html?spid=113526743,Sách - Chuyện Phiêu Lưu Của Mít Đặc Và Các Bạn,Nikolay Nosov,Sách thiếu nhi,150.000 ₫,,,,
1633940180-418,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,5,https://tiki.vn/sach-truyen-tieng-viet/c316?page=5&sort=newest,Sách - Vun đắp tâm hồn- Khác biệt mới tuyệt làm sao - Nhóc kì lân mọc sừng búa đẽo55.000 ₫,https://tiki.vn/sach-vun-dap-tam-hon-khac-biet-moi-tuyet-lam-sao-nhoc-ki-lan-moc-sung-bua-deo-p127500752.html?spid=127500753,Sách - Vun đắp tâm hồn- Khác biệt mới tuyệt làm sao - Nhóc kì lân mọc sừng búa đẽo,Nguyễn Hoàng Vũ,Sách thiếu nhi,55.000 ₫,,,,
1633940442-509,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1,Hàng mới,https://tiki.vn/sach-truyen-tieng-viet/c316?page=1&sort=newest,3,https://tiki.vn/sach-truyen-tieng-viet/c316?page=3&sort=newest,Sách - Những kỹ năng vàng cho teen thế kỉ 21 - Bí kíp ghi chép hiệu quả70.000 ₫,https://tiki.vn/sach-nhung-ky-nang-vang-cho-teen-the-ki-21-bi-kip-ghi-chep-hieu-qua-p127323331.html?spid=127323332,Sách - Những kỹ năng vàng cho teen thế kỉ 21 - Bí kíp ghi chép hiệu quả,"You Jia Hui,",Sách thiếu nhi,70.000 ₫,,,,
