,PID,book-rank,book-link-href,Name,Author,Category,Price,Rating-number,Sold-number
27,76737958,Phổ biến,https://tiki.vn/mind-map-english-vocabulary-tu-vung-tieng-anh-qua-so-do-tu-duy-p76737958.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.76737958,Mind Map English Vocabulary - Từ Vựng Tiếng Anh Qua Sơ Đồ Tư Duy,Hoàng Ngân,Sách Học Ngoại Ngữ,128700.0,424.0,1000.0
28,107331062,Phổ biến,https://tiki.vn/khoi-nghiep-kinh-doanh-online-ban-hang-hieu-qua-tren-facebook-p107331062.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.107331062,Khởi Nghiệp Kinh Doanh Online - Bán Hàng Hiệu Quả Trên Facebook,,Sách kinh tế,195000.0,299.0,1000.0
29,641906,Phổ biến,https://tiki.vn/bi-mat-cua-naoko-p641906.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.641906,Bí Mật Của Naoko,Higashino Keigo,Sách văn học,93960.0,13.0,48.0
30,810227,Phổ biến,https://tiki.vn/ca-phe-cung-tony-tai-ban-2017-p810227.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.810227,Cà Phê Cùng Tony (Tái Bản 2017),Tony Buổi Sáng,Sách kỹ năng sống,63000.0,207.0,980.0
31,14053724,Phổ biến,https://tiki.vn/su-cuu-roi-cua-thanh-nu-p14053724.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.14053724,Sự Cứu Rỗi Của Thánh Nữ,Higashino Keigo,Sách văn học,108800.0,11.0,110.0
32,20936418,Phổ biến,https://tiki.vn/ac-y-p20936418.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.20936418,Ác Ý,Keigo Higashino,Sách văn học,76900.0,1248.0,1000.0
33,103379147,Phổ biến,https://tiki.vn/bach-da-hanh-tai-ban-p103379147.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.103379147,Bạch Dạ Hành (Tái Bản),Higashino Keigo,Sách văn học,156200.0,184.0,553.0
34,84970841,Phổ biến,https://tiki.vn/men-chase-women-choose-chuyen-tinh-yeu-ban-biet-duoc-bao-nhieu-p84970841.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.84970841,Men Chase Women Choose - Chuyện Tình Yêu Bạn Biết Được Bao Nhiêu?,Dawn Maslar,Sách kỹ năng sống,109000.0,21.0,86.0
35,73553829,Phổ biến,https://tiki.vn/lam-cha-me-tinh-thuc-chuyen-hoa-ban-than-trao-quyen-cho-con-cai-p73553829.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.73553829,"Làm Cha Mẹ Tỉnh Thức - Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái",Tiến sĩ Shefali Tsabary,Sách Bà mẹ - Em bé,111200.0,33.0,163.0
36,3658331,Phổ biến,https://tiki.vn/khi-chat-bao-nhieu-hanh-phuc-bay-nhieu-p3658331.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110100600_MD_PID.3658331,"Khí Chất Bao Nhiêu, Hạnh Phúc Bấy Nhiêu",Vãn Tình,Sách kỹ năng sống,84600.0,1697.0,1000.0
